Log for:/home/jrethore/fic_enseignement/fic_CISM/HANDS-ON/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2022-10-02T18:50:57Z
#=#=#=#=# Propagation starts 2022-10-02T18:50:57Z (last step: 191 msec , total: 191 msec) 
2022-10-02T18:57:52Z | DIC/FE-DIC+R.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664463151 | fb669bc550ae822a3fdf988b9e1620fd | 416085 | 08665691oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 0da8220d-f5e6-40c8-ae26-ebec3e5cd3c9 | 
2022-10-02T18:56:39Z | DIC | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664655349 |  | 4096 | 08665666oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1a5283be-d8ce-43f1-806c-8f4846aac550 | 
2022-10-02T18:57:54Z | FEMU/fem-from-dic.npz | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664658593 | 6963270c39aacfcb32e83b62e5375efb | 26520 | 08665692oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f74d7c7b-a35b-481e-baff-d509c8262da5 | 
2022-10-02T18:57:55Z | FEMU/FEMU_introduction.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664443197 | dafc8dd821e3a90ee3c0833943da549e | 233197 | 08665693oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c8a2bc03-cfd1-458e-afe3-0083a7bb003d | 
2022-10-02T18:57:58Z | FEMU/FE_from_DIC.ipynb | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664658642 | 9b625d1c19057f1be63993e7c1f9f46f | 331016 | 08665694oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2acb1bec-2146-4ff7-85c0-cd1e93ee682e | 
2022-10-02T18:56:39Z | FEMU | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664658936 |  | 4096 | 08665667oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | bc332330-eb31-4e4c-b411-4d66c2fe5b7f | 
2022-10-02T18:57:59Z | data/dic-coarse.res | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664617258 | bfc4651831bb5ddeead4e7cf47ef785a | 110248 | 08665695oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 590e61fa-d9ca-4f95-bb28-f4fb31f2419e | 
2022-10-02T18:58:00Z | modules/fem.py | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664657805 | 71d8508e54bd88303b8ef47223f7082e | 2956 | 08665697oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 6d33fc21-b2ca-4872-94b6-cea3a8bb7cde | 
2022-10-02T18:58:00Z | data/dic.res | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664617301 | 2eaf5264177fcda196f8ab1bc0675106 | 163680 | 08665698oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 3b4b6a5c-991f-4b68-b612-06f0b206bd90 | 
2022-10-02T18:58:00Z | data/fem-from-dic.npz | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664654408 | b4534c78603e73e13b00e9d442ac02c4 | 26520 | 08665699oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 7f67e2ed-4507-448e-8a3a-7779be014e32 | 
2022-10-02T18:56:39Z | data | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664658433 |  | 4096 | 08665669oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 45e3fb8d-4657-4fc1-b770-0bd18dde1ae9 | 
2022-10-02T18:58:00Z | modules/__pycache__/fem.cpython-39.pyc | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664658243 | 11fc2fb5739cdd591d76fd56375bee9d | 3514 | 08665700oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 492135a0-c986-41d8-93da-5287a40ec0b3 | 
2022-10-02T18:57:59Z | modules/__pycache__ | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664658243 |  | 4096 | 08665696oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f3b105c7-7286-4109-aa19-954a67495542 | 
2022-10-02T18:56:39Z | modules | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1664658243 |  | 4096 | 08665668oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 349592fa-d7e0-418d-928f-c934d7128177 | 
#=#=#=# Syncrun finished 2022-10-02T18:52:19Z (last step: 81746 msec , total: 81938 msec) 
#=#=#=# Syncrun started 2022-10-02T18:52:33Z
#=#=#=#=# Propagation starts 2022-10-02T18:52:34Z (last step: 1178 msec , total: 1178 msec) 
2022-10-02T18:58:16Z | DIC/FIG/IMG_0001.tif -> data/IMG_0001.tif | SyncInstruction(CSYNC_INSTRUCTION_RENAME) | OCC::SyncFileItem::Up | | 1664521954 | eb02c0d91f9dae776453443625c16045 | 505708 | 08665677oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | afc5cf20-f7b6-4512-89e4-29740d1efbaa | 
2022-10-02T18:58:16Z | DIC/FIG/IMG_0018.tif -> data/IMG_0018.tif | SyncInstruction(CSYNC_INSTRUCTION_RENAME) | OCC::SyncFileItem::Up | | 1664521964 | e9f68a203c3b6d60cf4f58dc3742bf74 | 503094 | 08665678oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | cf25287a-0a12-4b98-a0d5-0088a3299761 | 
2022-10-02T18:58:23Z | data/b100090.bmp | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1384691375 | 72ce9bb71a12c85887dbeac46e5481a7 | 263222 | 08665701oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f9b9e240-f6f4-48a4-84b4-76c8b106201e | 
2022-10-02T18:58:23Z | data/b100001.bmp | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1384691374 | 43e25a22ba5d4180480253bbe5af6577 | 263338 | 08665702oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fcf83808-9755-45f0-943d-0c412fd1423b | 
2022-10-02T18:58:45Z | data/tp-dic_00.tif | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389476 | 8c4ef7d6ff5912e424ece17cf8e1e80d | 1057054 | 08665703oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 6e1d57c2-24e7-45bb-9688-877fdd7996a0 | 
2022-10-02T18:58:47Z | data/tp-dic_01.tif | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1662389476 | 19404e25c510c656bbbdebbb9e7060a5 | 1053544 | 08665704oc008vs9dq12 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 91099c9a-cf5b-4a21-8c6a-d27f59293a11 | 
#=#=#=# Syncrun finished 2022-10-02T18:53:05Z (last step: 31324 msec , total: 32503 msec) 
#=#=#=# Syncrun started 2022-10-02T18:53:40Z
#=#=#=#=# Propagation starts 2022-10-02T18:53:40Z (last step: 728 msec , total: 728 msec) 
#=#=#=# Syncrun finished 2022-10-02T18:53:40Z (last step: 23 msec , total: 752 msec) 
#=#=#=# Syncrun started 2022-10-02T18:58:04Z
#=#=#=#=# Propagation starts 2022-10-02T18:58:05Z (last step: 318 msec , total: 318 msec) 
2022-10-02T19:03:46Z | DIC/304.ipynb | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Up | | 1662830550 | a75f8783e5cde97979eb5c0e9edb434e | 177421 | 08665676oc008vs9dq12 | OCC::SyncFileItem::Success |  | 204 | 177421 | 1662830550 | f35812d7-f8ae-4f2d-9ac4-99d3ebcf732e | 
#=#=#=# Syncrun finished 2022-10-02T18:58:05Z (last step: 321 msec , total: 639 msec) 
#=#=#=# Syncrun started 2022-10-02T18:58:28Z
#=#=#=#=# Propagation starts 2022-10-02T18:58:29Z (last step: 886 msec , total: 886 msec) 
